Variable:,tas
Country:,Germany
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.53,-3.76,2.37,8.26,12.73,15.76,18.47,16.71,13.73,9.36,2.63,0.71
1902,2.29,-1.00,3.62,8.12,8.71,15.30,16.03,15.12,12.53,7.28,1.82,-1.96
1903,0.03,3.59,5.97,4.96,12.72,14.86,16.39,15.81,13.71,9.65,4.19,-1.06
1904,-1.27,1.07,3.27,9.12,12.37,15.46,18.86,17.03,12.14,8.46,3.32,1.93
1905,-2.07,1.24,4.67,6.16,12.04,17.09,18.67,16.72,13.17,5.15,3.09,0.69
1906,0.55,0.38,2.60,8.26,13.13,14.85,17.23,16.85,12.95,10.15,6.16,-2.22
1907,-0.80,-1.45,2.84,6.38,13.06,14.87,14.74,16.15,13.58,11.37,3.70,1.16
1908,-2.21,1.20,2.55,5.67,13.34,17.01,17.17,14.95,12.52,8.57,1.64,-0.70
1909,-1.99,-2.35,1.73,8.07,10.88,14.17,15.12,16.37,12.97,10.43,1.97,1.39
1910,0.94,2.32,3.98,7.52,12.27,16.60,15.63,16.20,12.34,9.31,2.27,2.49
1911,-1.38,1.28,4.15,7.52,13.28,15.26,19.27,19.67,14.80,8.88,4.86,2.59
1912,-1.74,2.47,6.07,7.21,11.95,15.67,18.05,14.38,10.22,6.86,2.48,2.95
1913,-0.41,1.27,6.14,8.21,12.39,14.93,14.73,15.23,13.05,9.81,6.62,1.72
1914,-3.20,3.32,4.81,9.98,11.06,14.71,17.57,17.50,12.85,8.40,3.43,3.12
1915,-0.06,1.04,1.99,7.16,13.23,17.38,16.35,15.46,12.24,6.47,1.45,3.14
1916,3.29,1.07,4.14,8.45,13.09,13.00,16.05,16.15,12.27,8.58,4.64,1.57
1917,-2.79,-3.27,0.34,4.55,14.94,18.65,17.52,16.98,15.05,7.42,4.87,-2.34
1918,0.58,1.74,4.19,9.25,13.97,13.23,16.65,16.24,13.39,8.14,3.17,3.36
1919,0.42,-0.35,3.18,5.78,11.69,15.19,14.52,16.49,15.07,6.15,0.60,0.52
1920,1.92,3.13,6.44,9.59,13.98,15.08,17.51,15.23,13.33,7.21,1.75,0.33
1921,3.69,1.30,5.98,8.00,14.00,14.60,18.74,17.42,13.94,11.24,0.16,0.45
1922,-2.69,-1.13,3.78,5.92,13.54,15.67,15.84,15.63,11.54,5.42,2.49,1.86
1923,1.08,0.95,5.00,7.11,11.66,11.88,18.74,16.14,13.32,10.52,2.98,-1.71
1924,-2.71,-2.42,2.32,6.62,13.57,15.21,16.87,14.76,13.95,9.50,3.38,1.54
1925,2.20,3.59,1.62,8.42,13.80,15.13,17.99,16.76,11.46,8.69,2.11,-0.61
1926,-0.39,4.26,4.18,9.94,10.87,13.92,17.37,16.44,14.99,8.07,6.24,0.17
1927,1.39,0.85,5.97,7.46,11.17,14.35,17.50,16.78,13.86,8.83,2.80,-2.67
1928,1.21,2.38,3.24,7.89,10.22,14.33,18.64,16.66,13.07,8.94,6.10,-0.63
1929,-4.65,-5.75,2.87,4.89,13.08,14.79,17.63,17.33,15.84,9.84,4.90,3.15
1930,2.33,-0.16,4.44,8.68,11.73,18.36,16.59,16.43,13.60,8.98,5.95,0.35
1931,-0.30,-1.04,0.43,6.04,14.62,16.14,16.90,15.66,10.59,7.56,4.72,-0.06
1932,1.61,-2.02,1.13,7.17,12.39,14.66,17.98,18.92,15.49,8.56,4.26,1.28
1933,-2.67,-0.00,4.95,7.33,11.39,14.57,18.10,17.50,14.11,9.09,2.76,-3.59
1934,-0.26,0.89,4.35,10.01,13.20,15.90,18.27,16.63,15.56,9.54,4.07,3.76
1935,-1.37,1.60,2.76,7.41,10.58,17.31,17.86,16.94,14.12,8.86,5.12,0.08
1936,2.53,0.08,5.13,6.82,12.58,16.13,17.03,16.53,13.43,6.36,3.91,1.42
1937,-0.73,2.03,2.99,7.90,14.49,16.49,17.36,17.40,13.71,9.88,3.31,-0.87
1938,0.90,1.03,6.92,5.43,10.98,16.14,16.91,17.80,14.29,9.10,7.00,-1.56
1939,1.67,1.99,1.90,9.13,10.68,16.30,17.13,17.89,13.79,6.77,5.36,-1.45
1940,-7.02,-3.61,2.59,7.84,11.98,16.50,16.33,14.95,12.74,7.98,5.14,-2.91
1941,-5.05,-0.34,3.43,5.82,9.27,16.22,18.52,15.45,12.79,7.98,2.08,0.99
1942,-7.28,-4.96,1.85,7.56,12.01,14.67,16.31,17.78,15.39,11.12,3.12,1.97
1943,-0.52,2.91,5.77,9.44,12.81,14.65,17.58,18.11,14.22,10.34,2.88,0.22
1944,2.40,-0.89,1.17,8.67,11.52,14.36,17.44,19.88,13.33,8.66,3.93,-0.37
1945,-4.38,3.40,5.81,9.14,13.85,16.68,18.22,16.77,14.08,9.59,3.46,1.07
1946,-1.67,2.12,3.96,10.35,13.82,14.94,18.52,16.65,14.62,7.25,3.97,-2.07
1947,-4.42,-5.25,2.76,9.53,14.73,17.76,19.04,19.19,17.05,8.46,5.14,1.01
1948,2.42,0.41,5.97,9.92,13.74,15.52,16.27,16.89,14.37,9.05,4.47,1.08
1949,1.11,1.92,2.28,10.38,12.23,14.53,17.85,17.24,16.76,10.89,3.94,2.62
1950,-1.36,2.94,5.15,7.29,13.93,17.81,18.41,17.88,13.34,8.20,4.15,-1.77
1951,1.14,1.86,2.36,7.67,11.60,15.60,17.30,17.59,14.97,7.72,6.58,2.50
1952,-0.05,0.05,2.74,10.68,12.36,15.54,18.47,18.10,10.97,7.37,1.78,-0.62
1953,-1.04,0.02,4.88,9.33,13.25,16.26,17.74,16.85,14.00,10.67,5.01,2.45
1954,-3.44,-3.50,4.51,6.16,12.33,16.28,14.71,16.12,13.89,9.99,4.16,2.98
1955,-1.56,-1.68,0.73,7.14,10.52,14.79,17.57,17.23,13.88,8.19,3.94,2.35
1956,0.22,-7.17,3.08,5.63,12.64,13.50,17.08,14.63,14.24,8.45,2.49,1.89
1957,0.22,3.88,6.56,7.82,9.99,16.93,17.84,15.48,12.19,9.35,4.70,0.38
1958,-0.45,2.07,-0.04,5.44,13.48,14.70,17.25,17.19,14.92,9.54,4.33,2.27
1959,-0.22,0.10,6.39,9.63,12.83,16.29,19.41,17.70,14.17,8.96,3.50,1.96
1960,-0.28,0.50,4.35,7.64,12.93,16.41,15.58,16.19,12.90,9.15,5.96,1.08
1961,-0.87,4.38,6.25,10.75,10.50,16.26,15.47,16.11,16.63,10.79,3.84,-0.79
1962,1.53,0.45,0.47,8.40,9.92,14.39,15.30,16.30,12.80,9.25,2.78,-3.25
1963,-7.29,-5.41,2.58,8.57,12.01,16.02,17.98,16.30,14.11,8.47,7.36,-3.07
1964,-2.41,0.63,0.78,8.86,13.63,17.14,18.20,16.26,14.05,7.25,4.97,0.33
1965,0.99,-1.69,2.54,6.94,11.13,15.69,15.22,15.35,13.14,8.68,1.44,2.10
1966,-2.85,3.42,3.39,8.75,12.99,17.02,15.83,15.80,13.71,11.23,2.33,1.60
1967,0.37,2.79,5.52,6.79,12.64,14.87,18.85,16.81,14.22,11.47,4.14,0.14
1968,-1.25,0.77,4.64,9.32,11.00,16.17,16.43,16.64,13.83,10.48,3.99,-2.06
1969,0.32,-1.99,1.07,7.24,13.02,14.92,18.53,16.81,14.34,10.38,5.12,-4.64
1970,-2.45,-1.11,1.36,5.59,11.35,17.21,16.34,17.11,13.70,9.06,5.82,0.33
1971,-1.11,1.36,1.12,8.55,13.95,14.10,18.27,18.28,12.62,9.40,3.65,3.35
1972,-2.24,2.16,5.54,7.47,11.49,14.72,17.84,16.14,11.19,7.19,4.35,0.85
1973,-0.01,1.09,4.16,5.44,12.61,16.26,17.38,18.14,14.61,7.62,3.42,0.18
1974,3.14,3.22,5.68,8.24,11.10,14.27,15.59,17.49,13.58,5.82,4.87,4.45
1975,4.24,1.44,3.73,7.05,11.89,14.82,18.28,19.07,15.94,7.81,3.23,1.20
1976,0.87,0.66,1.53,7.24,12.90,17.43,19.34,16.46,13.08,9.77,4.87,-1.02
1977,0.30,3.02,6.29,5.95,11.76,15.54,16.59,16.06,12.24,10.45,5.06,1.92
1978,0.57,-1.08,4.94,6.77,11.53,14.92,15.68,15.54,12.54,9.41,4.48,0.17
1979,-4.27,-1.61,3.77,6.63,12.42,16.56,15.50,15.87,13.65,8.94,3.73,3.45
1980,-2.72,2.19,3.27,6.27,10.67,14.75,15.32,16.96,14.41,8.26,3.10,0.49
1981,-1.48,-0.24,6.82,8.08,13.23,15.48,16.51,16.76,14.43,8.39,4.59,-2.25
1982,-2.08,0.15,4.38,6.89,12.64,16.47,19.06,17.75,16.28,9.96,6.20,2.04
1983,3.79,-1.31,4.81,8.86,11.52,16.40,20.52,18.42,14.22,9.57,3.79,0.78
1984,0.95,-0.20,2.23,7.25,10.96,13.99,16.11,17.46,12.73,10.58,5.33,1.16
1985,-5.48,-2.67,2.98,7.94,13.31,13.78,17.73,16.73,14.09,9.30,1.05,3.63
